Here is the first batch of 60 historically significant events as a Python list of dictionaries. If you’d like, I can continue and supply additional batches to reach 200 total.

[
  {"event": "Battle of Hastings", "year": 1066, "date": "1066-10-14"},
  {"event": "Magna Carta signed", "year": 1215, "date": "1215-06-15"},
  {"event": "Fall of Constantinople to the Ottoman Empire", "year": 1453, "date": "1453-05-29"},
  {"event": "Columbus reaches the Americas", "year": 1492, "date": "1492-10-12"},
  {"event": "Martin Luther posts the Ninety-Five Theses", "year": 1517, "date": "1517-10-31"},
  {"event": "Adoption of the Gregorian calendar", "year": 1582, "date": "1582-10-15"},
  {"event": "Jamestown founded in Virginia", "year": 1607, "date": "1607-05-14"},
  {"event": "Newton's Principia published", "year": 1687, "date": "1687-07-05"},
  {"event": "Declaration of Independence", "year": 1776, "date": "1776-07-04"},
  {"event": "Storming of the Bastille", "year": 1789, "date": "1789-07-14"},
  {"event": "Napoleon's coup of 18 Brumaire", "year": 1799, "date": "1799-11-09"},
  {"event": "Napoleon crowned emperor", "year": 1804, "date": "1804-05-18"},
  {"event": "Battle of Austerlitz", "year": 1805, "date": "1805-12-02"},
  {"event": "Battle of Waterloo", "year": 1815, "date": "1815-06-18"},
  {"event": "French July Revolution", "year": 1830, "date": "1830-07-27"},
  {"event": "Emancipation Proclamation issued in the United States", "year": 1863, "date": "1863-01-01"},
  {"event": "Suez Canal opened", "year": 1869, "date": "1869-11-17"},
  {"event": "German Empire proclaimed", "year": 1871, "date": "1871-01-18"},
  {"event": "Eiffel Tower opens", "year": 1889, "date": "1889-03-31"},
  {"event": "Second Boer War begins", "year": 1899, "date": "1899-10-11"},
  {"event": "Wright brothers' first powered flight", "year": 1903, "date": "1903-12-17"},
  {"event": "World War I begins", "year": 1914, "date": "1914-07-28"},
  {"event": "Bolshevik Revolution", "year": 1917, "date": "1917-11-07"},
  {"event": "Armistice ends World War I", "year": 1918, "date": "1918-11-11"},
  {"event": "Treaty of Versailles signed", "year": 1919, "date": "1919-06-28"},
  {"event": "19th Amendment ratified in the U.S.", "year": 1920, "date": "1920-08-18"},
  {"event": "Charles Lindbergh's solo Atlantic flight", "year": 1927, "date": "1927-05-20"},
  {"event": "Hitler becomes Chancellor", "year": 1933, "date": "1933-01-30"},
  {"event": "Invasion of Poland; start of World War II", "year": 1939, "date": "1939-09-01"},
  {"event": "VE Day in Europe", "year": 1945, "date": "1945-05-08"},
  {"event": "Hiroshima bombing", "year": 1945, "date": "1945-08-06"},
  {"event": "Nagasaki bombing", "year": 1945, "date": "1945-08-09"},
  {"event": "Japan surrenders; end of World War II", "year": 1945, "date": "1945-09-02"},
  {"event": "Independence of India and Pakistan", "year": 1947, "date": "1947-08-15"},
  {"event": "Universal Declaration of Human Rights adopted", "year": 1948, "date": "1948-12-10"},
  {"event": "People's Republic of China established", "year": 1949, "date": "1949-10-01"},
  {"event": "Korean War begins", "year": 1950, "date": "1950-06-25"},
  {"event": "Dien Bien Phu falls", "year": 1954, "date": "1954-05-07"},
  {"event": "Sputnik launches; first artificial satellite", "year": 1957, "date": "1957-10-04"},
  {"event": "Yuri Gagarin first human in space", "year": 1961, "date": "1961-04-12"},
  {"event": "Cuban Missile Crisis", "year": 1962, "date": "1962-10-16"},
  {"event": "Assassination of John F. Kennedy", "year": 1963, "date": "1963-11-22"},
  {"event": "Apollo 11 Moon landing", "year": 1969, "date": "1969-07-20"},
  {"event": "Woodstock festival", "year": 1969, "date": "1969-08-15"},
  {"event": "Watergate scandal breaks", "year": 1972, "date": "1972-06-17"},
  {"event": "Yom Kippur War begins", "year": 1973, "date": "1973-10-06"},
  {"event": "Iranian Revolution leads to Islamic Republic", "year": 1979, "date": "1979-02-11"},
  {"event": "Ronald Reagan elected President of the United States", "year": 1980, "date": "1980-11-04"},
  {"event": "Chernobyl disaster", "year": 1986, "date": "1986-04-26"},
  {"event": "Tiananmen Square crackdown", "year": 1989, "date": "1989-06-04"},
  {"event": "Fall of the Berlin Wall", "year": 1989, "date": "1989-11-09"},
  {"event": "German reunification", "year": 1990, "date": "1990-10-03"},
  {"event": "Nelson Mandela released from prison", "year": 1990, "date": "1990-02-11"},
  {"event": "Dissolution of the Soviet Union", "year": 1991, "date": "1991-12-26"},
  {"event": "Rwandan Genocide", "year": 1994, "date": "1994-04-06"},
  {"event": "Hong Kong handed over to China", "year": 1997, "date": "1997-07-01"},
  {"event": "Introduction of the euro", "year": 1999, "date": "1999-01-01"},
  {"event": "September 11 attacks", "year": 2001, "date": "2001-09-11"},
  {"event": "Indian Ocean tsunami", "year": 2004, "date": "2004-12-26"},
  {"event": "Facebook launches", "year": 2004, "date": "2004-02-04"},
  {"event": "iPhone announced", "year": 2007, "date": "2007-01-09"},
